ID,logTime,lidarDistance,irSensor,upMotor,throttleMotor,yawMotor,servoDoor,p_up,isMicroPython,i_up,d_up,p_throttle,i_throttle,d_throttle,p_yaw,i_yaw,d_yaw,scalar_up,scalar_yaw,scalar_throttle,error_rounding_up,error_scaling_up,pid_min_up,controlAuthority,loopTime,currentManeuver,state_description,state_target,state_action,ballIsFound,yellowGoalIsFound,orangeGoalIsFound,imu_yaw,imu_yaw_rate,imu_yaw_limited,imu_yaw_rate_limited
378360,2022-11-10 10:14:38.537,1354,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.230469,hoverYaw,autonomous,none,none,1,0,0,-2.49622,0.00585115,-2.49622,0.00585115
378361,2022-11-10 10:14:38.753,1354,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.242187,hoverYaw,autonomous,none,none,1,0,0,-2.49622,0.00585115,-2.49622,0.00585115
378362,2022-11-10 10:14:38.987,1354,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.21875,hoverYaw,autonomous,none,none,1,0,0,-2.49622,0.00585115,-2.49622,0.00585115
378363,2022-11-10 10:14:39.230,1356,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.21875,hoverYaw,autonomous,none,none,1,0,0,-2.36739,0.0986197,-2.36739,0.0986197
378364,2022-11-10 10:14:39.453,1356,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.234375,hoverYaw,autonomous,none,none,1,0,0,-2.36739,0.0986197,-2.36739,0.0986197
378365,2022-11-10 10:14:39.663,1356,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.222656,hoverYaw,autonomous,none,none,1,0,0,-2.36739,0.0986197,-2.36739,0.0986197
378366,2022-11-10 10:14:39.937,1334,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.207032,hoverYaw,autonomous,none,none,1,0,0,-2.36739,0.0986197,-2.36739,0.0986197
378367,2022-11-10 10:14:40.790,1296,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.265625,hoverYaw,autonomous,none,none,1,0,0,-2.35223,0.00106581,-2.35223,0.00106581
378368,2022-11-10 10:14:41.010,1359,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.832031,hoverYaw,autonomous,none,none,1,0,0,-2.3746,-0.0566539,-2.3746,-0.0566539
378369,2022-11-10 10:14:41.253,1383,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.214844,hoverYaw,autonomous,none,none,0,0,0,-2.3746,-0.0566539,-2.3746,-0.0566539
378370,2022-11-10 10:14:41.513,1383,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.242187,hoverYaw,autonomous,none,none,1,0,0,-2.3746,-0.0566539,-2.3746,-0.0566539
378371,2022-11-10 10:14:41.743,1383,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.253906,hoverYaw,autonomous,none,none,1,0,0,-2.3746,-0.0566539,-2.3746,-0.0566539
378372,2022-11-10 10:14:41.970,1383,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.234375,hoverYaw,autonomous,none,none,1,0,0,-2.28238,0.0205105,-2.28238,0.0205105
378373,2022-11-10 10:14:42.177,1383,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.207031,hoverYaw,autonomous,none,none,1,0,0,-2.28238,0.0205105,-2.28238,0.0205105
378374,2022-11-10 10:14:42.427,1311,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.210937,hoverYaw,autonomous,none,none,1,0,0,-2.26275,-0.0376386,-2.26275,-0.0376386
378375,2022-11-10 10:14:42.657,1311,0,0.942277,0,0.0558659,0,0.3,1,0,0.1,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.242188,hoverYaw,autonomous,none,none,1,0,0,-2.26275,-0.0376386,-2.26275,-0.0376386
376474,2022-11-10 10:06:46.093,1179,0,0.686537,0,0.067657,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,auto,0.242187,hoverYaw,autonomous,none,none,1,0,0,-1.01706,0.115361,-1.01706,0.115361
