ID,logTime,lidarDistance,irSensor,upMotor,throttleMotor,yawMotor,servoDoor,p_up,isMicroPython,i_up,d_up,p_throttle,i_throttle,d_throttle,p_yaw,i_yaw,d_yaw,scalar_up,scalar_yaw,scalar_throttle,error_rounding_up,error_scaling_up,pid_min_up,controlAuthority,loopTime,currentManeuver,state_description,state_target,state_action,ballIsFound,yellowGoalIsFound,orangeGoalIsFound,imu_yaw,imu_yaw_rate,imu_yaw_limited,imu_yaw_rate_limited
374834,2022-11-10 10:00:36.403,143,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,0,0,0,-0.952989,-0.301094,-0.952989,-0.301094
374833,2022-11-10 10:00:36.193,146,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.21875,Do nothing.,rcRemote,none,none,0,0,0,-0.899181,0.00407819,-0.899181,0.00407819
374832,2022-11-10 10:00:35.990,152,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.214844,Do nothing.,rcRemote,none,none,0,0,0,-0.908929,0.172926,-0.908929,0.172926
374831,2022-11-10 10:00:35.767,192,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.246094,Do nothing.,rcRemote,none,none,0,0,0,-0.939299,-0.0286437,-0.939299,-0.0286437
374830,2022-11-10 10:00:35.550,192,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.207031,Do nothing.,rcRemote,none,none,0,0,0,-0.896409,-0.118401,-0.896409,-0.118401
374829,2022-11-10 10:00:35.300,159,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.203125,Do nothing.,rcRemote,none,none,0,0,0,-0.869558,0.0911944,-0.869558,0.0911944
374828,2022-11-10 10:00:35.090,143,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,0,0,0,-1.00484,0.295212,-1.00484,0.295212
374827,2022-11-10 10:00:34.877,127,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,0,0,0,-1.00484,0.295212,-1.00484,0.295212
374826,2022-11-10 10:00:34.673,127,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199218,Do nothing.,rcRemote,none,none,0,0,0,-0.924699,-0.809692,-0.924699,-0.809692
374825,2022-11-10 10:00:34.467,1492,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.230469,Do nothing.,rcRemote,none,none,1,0,0,1.36823,-1.41587,1.36823,-1.41587
374824,2022-11-10 10:00:34.267,1492,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.214844,Do nothing.,rcRemote,none,none,0,0,0,1.36823,-1.41587,1.36823,-1.41587
374823,2022-11-10 10:00:34.033,1492,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.21875,Do nothing.,rcRemote,none,none,0,0,0,1.36823,-1.41587,1.36823,-1.41587
374822,2022-11-10 10:00:33.803,1503,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.222656,Do nothing.,rcRemote,none,none,0,0,0,1.36823,-1.41587,1.36823,-1.41587
374821,2022-11-10 10:00:33.590,1503,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.25,Do nothing.,rcRemote,none,none,0,0,0,1.36823,-1.41587,1.36823,-1.41587
374820,2022-11-10 10:00:33.353,1503,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199218,Do nothing.,rcRemote,none,none,0,0,0,1.36823,-1.41587,1.36823,-1.41587
374819,2022-11-10 10:00:33.097,1517,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.203125,Do nothing.,rcRemote,none,none,1,0,0,1.36823,-1.41587,1.36823,-1.41587
374818,2022-11-10 10:00:32.890,1489,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,1,0,0,1.68295,-1.45945,1.68295,-1.45945
374817,2022-11-10 10:00:32.687,1489,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374816,2022-11-10 10:00:32.487,1489,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374815,2022-11-10 10:00:32.287,1489,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.207031,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374814,2022-11-10 10:00:32.090,1489,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374813,2022-11-10 10:00:31.837,504,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199218,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374812,2022-11-10 10:00:31.667,504,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374811,2022-11-10 10:00:31.467,504,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.230469,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374810,2022-11-10 10:00:31.267,504,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.222656,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374809,2022-11-10 10:00:31.030,504,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374808,2022-11-10 10:00:30.800,103,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374807,2022-11-10 10:00:30.587,1487,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,1,0,0,0.89719,-1.42966,0.89719,-1.42966
374806,2022-11-10 10:00:30.387,1487,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199218,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374805,2022-11-10 10:00:30.187,1487,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.21875,Do nothing.,rcRemote,none,none,0,1,0,0.89719,-1.42966,0.89719,-1.42966
374804,2022-11-10 10:00:29.987,1487,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.25,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374803,2022-11-10 10:00:29.757,1487,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.203125,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374802,2022-11-10 10:00:29.500,1395,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.234375,Do nothing.,rcRemote,none,none,0,0,0,0.89719,-1.42966,0.89719,-1.42966
374801,2022-11-10 10:00:29.297,1419,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.21875,Do nothing.,rcRemote,none,none,1,0,0,1.37904,-1.18726,1.37904,-1.18726
374800,2022-11-10 10:00:29.067,1453,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,1,0,0,1.42647,-1.28581,1.42647,-1.28581
374799,2022-11-10 10:00:28.827,1453,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.246094,Do nothing.,rcRemote,none,none,1,0,0,-2.2049,-1.46292,-2.2049,-1.46292
374798,2022-11-10 10:00:28.630,1453,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.207031,Do nothing.,rcRemote,none,none,0,0,0,-2.2049,-1.46292,-2.2049,-1.46292
374797,2022-11-10 10:00:28.377,1453,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.199219,Do nothing.,rcRemote,none,none,0,0,0,-2.2049,-1.46292,-2.2049,-1.46292
374796,2022-11-10 10:00:28.170,868,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.242187,Do nothing.,rcRemote,none,none,0,0,0,-2.2049,-1.46292,-2.2049,-1.46292
374795,2022-11-10 10:00:27.970,868,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.230469,Do nothing.,rcRemote,none,none,0,0,0,-2.2049,-1.46292,-2.2049,-1.46292
374794,2022-11-10 10:00:27.717,942,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.222656,Do nothing.,rcRemote,none,none,0,0,0,-2.2049,-1.46292,-2.2049,-1.46292
374793,2022-11-10 10:00:27.487,1506,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.246094,Do nothing.,rcRemote,none,none,0,0,0,-2.2049,-1.46292,-2.2049,-1.46292
374792,2022-11-10 10:00:27.253,1506,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,None,0.203125,Do nothing.,rcRemote,none,none,0,0,0,-2.2049,-1.46292,-2.2049,-1.46292
