ID,logTime,lidarDistance,upMotor,controlAuthority,currentManeuver,state_description,state_target,state_action,loopTime,days_since_last_case
442898,2022-11-11 09:39:09.007,962,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.207031,NULL
442899,2022-11-11 09:39:09.230,962,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.238281,2.58487654320988E-06
442900,2022-11-11 09:39:09.473,963,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.214844,2.81635802469136E-06
442901,2022-11-11 09:39:09.727,964,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242188,2.9320987654321E-06
442902,2022-11-11 09:39:09.970,963,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.246093,2.81635802469136E-06
442903,2022-11-11 09:39:10.190,963,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242188,2.5462962962963E-06
442904,2022-11-11 09:39:10.443,864,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.21875,2.9320987654321E-06
442905,2022-11-11 09:39:10.680,864,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242187,2.7391975308642E-06
442906,2022-11-11 09:39:10.907,864,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.238282,2.62345679012346E-06
442907,2022-11-11 09:39:11.157,835,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.21875,2.89351851851852E-06
442908,2022-11-11 09:39:11.400,777,0.951983,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.246093,2.81635802469136E-06
442909,2022-11-11 09:39:11.677,782,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242188,3.20216049382716E-06
442910,2022-11-11 09:39:11.910,782,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.261719,2.70061728395062E-06
442911,2022-11-11 09:39:12.147,797,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,2.7391975308642E-06
442912,2022-11-11 09:39:12.377,761,0.89587,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.226562,2.66203703703704E-06
442913,2022-11-11 09:39:12.600,758,1,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.226563,2.58487654320988E-06
442914,2022-11-11 09:39:12.840,727,0.779644,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.214844,2.77777777777778E-06
442915,2022-11-11 09:39:13.120,689,0.580708,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.246093,3.24074074074074E-06
442916,2022-11-11 09:39:13.357,689,0.707664,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.269532,2.7391975308642E-06
442917,2022-11-11 09:39:13.587,689,0.712353,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,2.66203703703704E-06
442918,2022-11-11 09:39:13.807,608,-0.0221485,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.21875,2.5462962962963E-06
442919,2022-11-11 09:39:14.070,590,0.127207,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.222656,3.04783950617284E-06
442920,2022-11-11 09:39:14.290,572,0.0240168,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,2.5462962962963E-06
442921,2022-11-11 09:39:14.537,555,-0.0720859,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.222656,2.85493827160494E-06
442922,2022-11-11 09:39:14.797,546,0.0099408,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.238281,3.00925925925926E-06
442923,2022-11-11 09:39:15.067,520,-0.243394,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.257813,3.125E-06
442924,2022-11-11 09:39:15.300,524,-0.140497,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253906,2.70061728395062E-06
442925,2022-11-11 09:39:15.560,530,-0.0496305,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.230468,3.00925925925926E-06
442926,2022-11-11 09:39:15.790,523,-0.176453,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253907,2.66203703703704E-06
442927,2022-11-11 09:39:16.063,518,-0.138816,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,3.16358024691358E-06
442928,2022-11-11 09:39:16.317,529,-0.0511529,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.257812,2.9320987654321E-06
442929,2022-11-11 09:39:16.553,531,-0.0865571,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253906,2.7391975308642E-06
442930,2022-11-11 09:39:16.807,535,0.00156303,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,2.9320987654321E-06
442931,2022-11-11 09:39:17.060,541,-0.0365359,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.246094,2.9320987654321E-06
442932,2022-11-11 09:39:17.290,541,-0.0377031,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242188,2.66203703703704E-06
442933,2022-11-11 09:39:17.510,554,0.0539327,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.230468,2.5462962962963E-06
442934,2022-11-11 09:39:17.763,562,0.102647,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.210938,2.9320987654321E-06
442935,2022-11-11 09:39:18.017,573,0.154637,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,2.9320987654321E-06
442936,2022-11-11 09:39:18.270,585,0.202016,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,2.9320987654321E-06
442937,2022-11-11 09:39:18.527,585,0.163605,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253906,2.97067901234568E-06
442938,2022-11-11 09:39:18.780,606,0.429878,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.246094,2.9320987654321E-06
442939,2022-11-11 09:39:19.010,624,0.407074,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,2.66203703703704E-06
442940,2022-11-11 09:39:19.263,637,0.545099,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.226562,2.9320987654321E-06
442941,2022-11-11 09:39:19.517,637,0.465612,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,2.9320987654321E-06
442942,2022-11-11 09:39:19.733,658,0.652886,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.238281,2.50771604938272E-06
442943,2022-11-11 09:39:20.003,669,0.655324,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.214844,3.125E-06
442944,2022-11-11 09:39:20.263,669,0.615345,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.257812,3.00925925925926E-06
442945,2022-11-11 09:39:20.493,682,0.704002,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.261719,2.66203703703704E-06
442946,2022-11-11 09:39:20.727,683,0.666084,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.21875,2.70061728395062E-06
442947,2022-11-11 09:39:20.977,685,0.66509,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,2.89351851851852E-06
442948,2022-11-11 09:39:21.233,685,0.665383,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242188,2.97067901234568E-06
442949,2022-11-11 09:39:21.487,685,0.665692,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.257812,2.9320987654321E-06
442950,2022-11-11 09:39:21.720,685,0.666014,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242188,2.70061728395062E-06
442951,2022-11-11 09:39:21.973,664,0.491381,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,2.9320987654321E-06
442952,2022-11-11 09:39:22.237,655,0.476866,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,3.04783950617284E-06
442953,2022-11-11 09:39:22.477,646,0.515542,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,2.77777777777778E-06
442954,2022-11-11 09:39:22.730,637,0.427449,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242187,2.9320987654321E-06
442955,2022-11-11 09:39:23.000,630,0.380657,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.246094,3.125E-06
442956,2022-11-11 09:39:23.260,623,0.329017,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.261719,3.00925925925926E-06
442957,2022-11-11 09:39:23.497,618,0.366397,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.257812,2.7391975308642E-06
442958,2022-11-11 09:39:23.747,614,0.276538,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.226563,2.89351851851852E-06
442959,2022-11-11 09:39:24.020,610,0.316659,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,3.16358024691358E-06
442960,2022-11-11 09:39:24.267,610,0.318023,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.257812,2.85493827160494E-06
442961,2022-11-11 09:39:24.523,602,0.225969,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.246093,2.97067901234568E-06
442962,2022-11-11 09:39:24.783,602,0.267118,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.246094,3.00925925925926E-06
442963,2022-11-11 09:39:25.023,601,0.268392,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.261719,2.77777777777778E-06
442964,2022-11-11 09:39:25.257,602,0.268549,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.226562,2.70061728395062E-06
442965,2022-11-11 09:39:25.490,604,0.268668,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,2.70061728395062E-06
442966,2022-11-11 09:39:25.717,604,0.268783,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.222656,2.62345679012346E-06
442967,2022-11-11 09:39:25.970,610,0.357255,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.226562,2.9320987654321E-06
442968,2022-11-11 09:39:26.210,615,0.320345,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242188,2.77777777777778E-06
442969,2022-11-11 09:39:26.473,623,0.405799,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242187,3.04783950617284E-06
442970,2022-11-11 09:39:26.730,623,0.370621,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253907,2.97067901234568E-06
442971,2022-11-11 09:39:26.977,623,0.369633,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253906,2.85493827160494E-06
442972,2022-11-11 09:39:27.210,645,0.543917,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,2.70061728395062E-06
442973,2022-11-11 09:39:27.453,645,0.472636,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.230469,2.81635802469136E-06
442974,2022-11-11 09:39:27.697,658,0.645029,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,2.81635802469136E-06
442975,2022-11-11 09:39:28.020,664,0.572974,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.238282,3.74228395061728E-06
442976,2022-11-11 09:39:28.253,669,0.65151,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.308593,2.70061728395062E-06
442977,2022-11-11 09:39:28.490,669,0.622243,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.238282,2.7391975308642E-06
442978,2022-11-11 09:39:28.733,673,0.621565,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.226562,2.81635802469136E-06
442979,2022-11-11 09:39:29.003,674,0.621851,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.246094,3.125E-06
442980,2022-11-11 09:39:29.253,674,0.622158,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.257812,2.89351851851852E-06
442981,2022-11-11 09:39:29.513,674,0.62245,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,3.00925925925926E-06
442982,2022-11-11 09:39:29.777,669,0.622787,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253907,3.04783950617284E-06
442983,2022-11-11 09:39:30.027,664,0.532885,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.253906,2.89351851851852E-06
442984,2022-11-11 09:39:30.270,658,0.572058,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.246094,2.81635802469136E-06
442985,2022-11-11 09:39:30.550,651,0.490685,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.238281,3.24074074074074E-06
442986,2022-11-11 09:39:30.787,642,0.431938,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.277344,2.7391975308642E-06
442987,2022-11-11 09:39:31.027,634,0.380033,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.230468,2.77777777777778E-06
442988,2022-11-11 09:39:31.287,625,0.4228,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,3.00925925925926E-06
442989,2022-11-11 09:39:31.537,618,0.339267,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.261719,2.89351851851852E-06
442990,2022-11-11 09:39:31.790,610,0.28546,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.238281,2.9320987654321E-06
442991,2022-11-11 09:39:32.053,610,0.323502,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253907,3.04783950617284E-06
442992,2022-11-11 09:39:32.290,610,0.32481,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,2.7391975308642E-06
442993,2022-11-11 09:39:32.530,587,0.146192,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242187,2.77777777777778E-06
442994,2022-11-11 09:39:32.790,599,0.313175,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,3.00925925925926E-06
442995,2022-11-11 09:39:33.017,599,0.276404,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,2.62345679012346E-06
442996,2022-11-11 09:39:33.263,602,0.275346,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.21875,2.85493827160494E-06
442997,2022-11-11 09:39:33.520,605,0.27544,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242188,2.97067901234568E-06
442998,2022-11-11 09:39:33.790,609,0.362639,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253906,3.125E-06
442999,2022-11-11 09:39:34.063,614,0.326929,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.261719,3.16358024691358E-06
443000,2022-11-11 09:39:34.347,619,0.410223,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.273437,3.27932098765432E-06
443001,2022-11-11 09:39:34.583,620,0.377077,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.269532,2.7391975308642E-06
443002,2022-11-11 09:39:34.833,632,0.466851,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.238281,2.89351851851852E-06
443003,2022-11-11 09:39:35.077,640,0.516263,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242187,2.81635802469136E-06
443004,2022-11-11 09:39:35.313,640,0.478062,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.242188,2.7391975308642E-06
443005,2022-11-11 09:39:35.537,657,0.661465,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.21875,2.58487654320988E-06
443006,2022-11-11 09:39:35.783,666,0.66869,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.226562,2.85493827160494E-06
443007,2022-11-11 09:39:36.037,673,0.628987,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.242188,2.9320987654321E-06
443008,2022-11-11 09:39:36.287,677,0.71396,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.253906,2.89351851851852E-06
443009,2022-11-11 09:39:36.510,677,0.679486,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.234375,2.58487654320988E-06
443010,2022-11-11 09:39:36.777,684,0.678607,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.226563,3.08641975308642E-06
443011,2022-11-11 09:39:37.020,684,0.678878,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.257812,2.81635802469136E-06
443012,2022-11-11 09:39:37.303,684,0.679194,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.246094,3.27932098765432E-06
443013,2022-11-11 09:39:37.540,684,0.679576,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.273437,2.7391975308642E-06
443014,2022-11-11 09:39:37.787,661,0.501093,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.234375,2.85493827160494E-06
443015,2022-11-11 09:39:38.050,652,0.485419,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.242188,3.04783950617284E-06
443016,2022-11-11 09:39:38.310,644,0.442096,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.253906,3.00925925925926E-06
443017,2022-11-11 09:39:38.540,635,0.39103,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253906,2.66203703703704E-06
443018,2022-11-11 09:39:38.777,629,0.429429,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.226563,2.7391975308642E-06
443019,2022-11-11 09:39:39.003,624,0.339669,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,2.62345679012346E-06
443020,2022-11-11 09:39:39.937,618,0.3796,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.21875,1.08024691358025E-05
443021,2022-11-11 09:39:40.187,594,0.199945,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.925781,2.89351851851852E-06
443022,2022-11-11 09:39:40.453,585,0.142941,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.230469,3.08641975308642E-06
443023,2022-11-11 09:39:40.693,578,0.180392,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.265625,2.77777777777778E-06
443024,2022-11-11 09:39:40.927,573,0.0898921,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.234375,2.70061728395062E-06
443025,2022-11-11 09:39:41.180,569,0.130368,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.226563,2.9320987654321E-06
443026,2022-11-11 09:39:41.440,568,0.131662,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253906,3.00925925925926E-06
443027,2022-11-11 09:39:41.747,568,0.131759,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.25,3.54938271604938E-06
443028,2022-11-11 09:39:42.017,574,0.131822,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.304687,3.125E-06
443029,2022-11-11 09:39:42.290,574,0.131874,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.257813,3.16358024691358E-06
443030,2022-11-11 09:39:42.547,574,0.13193,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.277344,2.97067901234568E-06
443031,2022-11-11 09:39:42.803,600,0.403038,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,2.97067901234568E-06
443032,2022-11-11 09:39:43.040,600,0.286084,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.242187,2.7391975308642E-06
443033,2022-11-11 09:39:43.273,600,0.282415,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.238282,2.70061728395062E-06
443034,2022-11-11 09:39:43.573,628,0.544461,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.230468,3.47222222222222E-06
