ID,logTime,lidarDistance,setPoint,difference,upMotor,,throttleMotor,yawMotor,servoDoor,p_up,isMicroPython,i_up,d_up,p_throttle,i_throttle,d_throttle,p_yaw,i_yaw,d_yaw,scalar_up,scalar_yaw,scalar_throttle,error_rounding_up,error_scaling_up,pid_min_up
241000,2022-11-08 13:00:00.083,1533,550,-983,1,,0,0.132076,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241001,2022-11-08 13:00:00.293,1533,550,-983,1,,0,0.122238,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241002,2022-11-08 13:00:00.490,1533,550,-983,1,,0,0.124673,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241003,2022-11-08 13:00:00.687,1532,550,-982,1,,0,0.131365,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241004,2022-11-08 13:00:00.893,1534,550,-984,1,,0,0.128918,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241005,2022-11-08 13:00:01.103,1534,550,-984,1,,0,0.124728,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241006,2022-11-08 13:00:01.303,1535,550,-985,1,,0,0.126699,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241007,2022-11-08 13:00:01.513,1533,550,-983,1,,0,0.129078,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241008,2022-11-08 13:00:01.703,1535,550,-985,1,,0,0.125418,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241009,2022-11-08 13:00:01.900,1533,550,-983,1,,0,0.127267,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241011,2022-11-08 13:00:02.320,1534,550,-984,1,,0,0.127693,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241012,2022-11-08 13:00:02.503,1532,550,-982,1,,0,0.127484,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241013,2022-11-08 13:00:02.703,1534,550,-984,1,,0,0.126343,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241014,2022-11-08 13:00:02.927,1533,550,-983,1,,0,0.128083,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241015,2022-11-08 13:00:03.123,1535,550,-985,1,,0,0.125591,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241016,2022-11-08 13:00:03.327,1535,550,-985,1,,0,0.126586,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241017,2022-11-08 13:00:03.523,1535,550,-985,1,,0,0.126673,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241018,2022-11-08 13:00:03.737,1535,550,-985,1,,0,0.128882,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241019,2022-11-08 13:00:03.903,1533,550,-983,1,,0,0.128223,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241020,2022-11-08 13:00:04.103,1536,550,-986,1,,0,0.128469,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241021,2022-11-08 13:00:04.307,1535,550,-985,1,,0,0.12862,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
241022,2022-11-08 13:00:04.513,1537,550,-987,1,,0,0.128033,0,2,1,0,0,3,4,5,0.5,0,0,1,1,1,1,100,0
