logTime,yawMotor,p_yaw,i_yaw,d_yaw,scalar_yaw,loopTime,controlAuthority,currentManeuver,state_description,state_target,state_action,imu_yaw,imu_yaw_rate,imu_yaw_limited,imu_yaw_rate_limited,loopTime
2022-11-09 12:30:53.687,0.125,0.5,0,0,1,0.199218,auto,hoverYaw,autonomous,none,none,2.02185E-35,2.02199E-35,2.02185E-35,2.02199E-35,0.199218
2022-11-09 12:19:27.797,-0.446887,0.5,0,0,1,0.199219,auto,hoverYaw,autonomous,none,none,2.10905,0.588641,2.10905,0.588641,0.199219
2022-11-09 12:19:27.587,0.126501,0.5,0,0,1,0.222656,auto,hoverYaw,autonomous,none,none,4.11574E-25,1.95624E-35,4.11574E-25,1.95624E-35,0.222656
2022-11-09 12:19:27.390,0.126635,0.5,0,0,1,0.238282,auto,hoverYaw,autonomous,none,none,4.11574E-25,1.95624E-35,4.11574E-25,1.95624E-35,0.238282
2022-11-09 12:19:27.160,0.13225,0.5,0,0,1,0.234375,auto,hoverYaw,autonomous,none,none,-1.51164E+23,-1.44878E+25,-3.14159,0,0.234375
2022-11-09 12:19:26.903,0.323793,0.5,0,0,1,0.257812,auto,hoverYaw,autonomous,none,none,-1.51164E+23,-1.44878E+25,-3.14159,0,0.257812
2022-11-09 12:19:26.673,-0.310001,0.5,0,0,1,0.230469,auto,hoverYaw,autonomous,none,none,1.33563,0.508142,1.33563,0.508142,0.230469
2022-11-09 12:19:26.407,0.375796,0.5,0,0,1,0.21875,auto,hoverYaw,autonomous,none,none,-8194.63,9.90556E-24,-3.14159,9.90556E-24,0.21875
2022-11-09 12:19:26.150,-0.18594,0.5,0,0,1,0.199219,auto,hoverYaw,autonomous,none,none,0.847703,0.623586,0.847703,0.623586,0.199219
2022-11-09 12:19:25.950,-0.196492,0.5,0,0,1,0.214844,auto,hoverYaw,autonomous,none,none,0.847703,0.623586,0.847703,0.623586,0.214844
2022-11-09 12:19:25.753,-0.483499,0.5,0,0,1,0.207031,auto,hoverYaw,autonomous,none,none,0.847703,0.623586,0.847703,0.623586,0.207031
2022-11-09 12:19:25.537,0.134714,0.5,0,0,1,0.214844,auto,hoverYaw,autonomous,none,none,1.65489E-24,-7.12425E-07,1.65489E-24,-7.12425E-07,0.214844
2022-11-09 12:19:25.317,0.384551,0.5,0,0,1,0.238281,auto,hoverYaw,autonomous,none,none,-0.12504,-1.54393E-25,-0.12504,-1.54393E-25,0.238281
2022-11-09 12:19:25.097,-0.373649,0.5,0,0,1,0.203125,auto,hoverYaw,autonomous,none,none,0.529918,0.554545,0.529918,0.554545,0.203125
