ID,logTime,lidarDistance,setPoint,diff,upMotor,yawMotor,throttleMotor,p_up,i_up,d_up
293332,2022-11-08 16:54:32.630,146,550,404,0,0,0,2,0,0
293331,2022-11-08 16:54:32.433,146,550,404,0,0,0,2,0,0
293330,2022-11-08 16:54:32.197,146,550,404,0,0,0,2,0,0
293329,2022-11-08 16:54:32.017,145,550,405,0,0,0,2,0,0
293328,2022-11-08 16:54:31.817,145,550,405,0,0,0,2,0,0
293327,2022-11-08 16:54:31.607,145,550,405,0,0,0,2,0,0
293326,2022-11-08 16:54:31.403,145,550,405,0,0,0,2,0,0
293325,2022-11-08 16:54:31.190,145,550,405,0,0,0,2,0,0
293324,2022-11-08 16:54:31.003,145,550,405,0,0,0,2,0,0
293323,2022-11-08 16:54:30.780,145,550,405,0,0,0,2,0,0
293322,2022-11-08 16:54:30.573,145,550,405,0,0,0,2,0,0
293321,2022-11-08 16:54:30.367,145,550,405,0,0,0,2,0,0
293320,2022-11-08 16:54:30.153,145,550,405,0,0,0,2,0,0
293319,2022-11-08 16:54:29.963,145,550,405,0,0,0,2,0,0
293318,2022-11-08 16:54:29.760,145,550,405,0,0,0,2,0,0
293317,2022-11-08 16:54:29.557,145,550,405,0,0,0,2,0,0
293316,2022-11-08 16:54:29.347,145,550,405,0,0,0,2,0,0
293315,2022-11-08 16:54:29.120,145,550,405,0,0,0,2,0,0
293314,2022-11-08 16:54:28.943,145,550,405,0,0,0,2,0,0
293313,2022-11-08 16:54:28.737,145,550,405,0,0,0,2,0,0
293312,2022-11-08 16:54:28.537,145,550,405,0,0,0,2,0,0
293311,2022-11-08 16:54:28.327,145,550,405,0,0,0,2,0,0
293310,2022-11-08 16:54:28.113,145,550,405,0,0,0,2,0,0
293309,2022-11-08 16:54:27.900,145,550,405,0,0,0,2,0,0
293308,2022-11-08 16:54:27.687,145,550,405,0,0,0,2,0,0
293307,2022-11-08 16:54:27.480,145,550,405,0,0,0,2,0,0
293306,2022-11-08 16:54:27.257,145,550,405,0,0,0,2,0,0
293305,2022-11-08 16:54:27.043,145,550,405,0,0,0,2,0,0
293304,2022-11-08 16:54:26.827,145,550,405,0,0,0,2,0,0
293303,2022-11-08 16:54:26.623,145,550,405,0,0,0,2,0,0
293302,2022-11-08 16:54:26.410,145,550,405,0,0,0,2,0,0
293301,2022-11-08 16:54:26.180,145,550,405,0,0,0,2,0,0
293300,2022-11-08 16:54:26.007,145,550,405,0,0,0,2,0,0
293299,2022-11-08 16:54:25.797,145,550,405,0,0,0,2,0,0
293298,2022-11-08 16:54:25.597,145,550,405,0,0,0,2,0,0
293297,2022-11-08 16:54:25.390,145,550,405,0,0,0,2,0,0
293296,2022-11-08 16:54:25.143,145,550,405,0,0,0,2,0,0
293295,2022-11-08 16:54:24.970,145,550,405,0,0,0,2,0,0
293294,2022-11-08 16:54:24.760,145,550,405,0,0,0,2,0,0
293293,2022-11-08 16:54:24.560,145,550,405,0,0,0,2,0,0
293292,2022-11-08 16:54:24.280,145,550,405,0,0,0,2,0,0
293291,2022-11-08 16:54:24.070,145,550,405,0,0,0,2,0,0
293290,2022-11-08 16:54:23.867,145,550,405,0,0,0,2,0,0
293289,2022-11-08 16:54:23.660,145,550,405,0,0,0,2,0,0
293288,2022-11-08 16:54:23.447,145,550,405,0,0,0,2,0,0
293287,2022-11-08 16:54:23.240,145,550,405,0,0,0,2,0,0
293286,2022-11-08 16:54:23.030,145,550,405,0,0,0,2,0,0
293285,2022-11-08 16:54:22.820,145,550,405,0,0,0,2,0,0
293284,2022-11-08 16:54:22.610,145,550,405,0,0,0,2,0,0
293283,2022-11-08 16:54:22.403,145,550,405,0,0,0,2,0,0
293282,2022-11-08 16:54:22.167,145,550,405,0,0,0,2,0,0
293281,2022-11-08 16:54:21.990,145,550,405,0,0,0,2,0,0
293280,2022-11-08 16:54:21.777,145,550,405,0,0,0,2,0,0
293279,2022-11-08 16:54:20.597,145,550,405,0,0,0,2,0,0
293278,2022-11-08 16:54:20.377,145,550,405,0,0,0,2,0,0
293277,2022-11-08 16:54:20.133,145,550,405,0,0,0,2,0,0
293276,2022-11-08 16:54:19.957,145,550,405,0,0,0,2,0,0
293275,2022-11-08 16:54:19.750,145,550,405,0,0,0,2,0,0
293274,2022-11-08 16:54:19.540,145,550,405,0,0,0,2,0,0
293273,2022-11-08 16:54:19.337,145,550,405,0,0,0,2,0,0
293272,2022-11-08 16:54:19.113,145,550,405,0,0,0,2,0,0
293271,2022-11-08 16:54:18.907,145,550,405,0,0,0,2,0,0
293270,2022-11-08 16:54:18.697,145,550,405,0,0,0,2,0,0
293269,2022-11-08 16:54:18.443,145,550,405,0,0,0,2,0,0
293268,2022-11-08 16:54:18.207,145,550,405,0,0,0,2,0,0
293267,2022-11-08 16:54:18.030,146,550,404,0,0,0,2,0,0
293266,2022-11-08 16:54:17.800,146,550,404,0,0,0,2,0,0
293265,2022-11-08 16:54:17.597,146,550,404,0,0,0,2,0,0
293264,2022-11-08 16:54:17.387,146,550,404,0,0,0,2,0,0
293263,2022-11-08 16:54:17.147,146,550,404,0,0,0,2,0,0
293262,2022-11-08 16:54:16.983,146,550,404,0,0,0,2,0,0
293261,2022-11-08 16:54:16.760,146,550,404,0,0,0,2,0,0
293260,2022-11-08 16:54:16.550,146,550,404,0,0,0,2,0,0
293259,2022-11-08 16:54:16.323,146,550,404,0,0,0,2,0,0
293258,2022-11-08 16:54:16.097,146,550,404,0,0,0,2,0,0
293257,2022-11-08 16:54:15.890,146,550,404,0,0,0,2,0,0
293256,2022-11-08 16:54:15.683,146,550,404,0,0,0,2,0,0
293255,2022-11-08 16:54:15.477,146,550,404,0,0,0,2,0,0
293254,2022-11-08 16:54:15.273,146,550,404,0,0,0,2,0,0
293253,2022-11-08 16:54:15.057,146,550,404,0,0,0,2,0,0
293252,2022-11-08 16:54:14.853,146,550,404,0,0,0,2,0,0
293251,2022-11-08 16:54:14.640,146,550,404,0,0,0,2,0,0
293250,2022-11-08 16:54:14.440,146,550,404,0,0,0,2,0,0
293249,2022-11-08 16:54:14.197,146,550,404,0,0,0,2,0,0
292875,2022-11-08 16:46:42.517,257,550,293,0,0,0,2,0,0
292849,2022-11-08 16:46:37.203,257,550,293,0,0,0,2,0,0
292806,2022-11-08 16:46:26.923,0,550,550,0,0,0,2,0,0
292805,2022-11-08 16:46:26.713,0,550,550,0,0,0,2,0,0
292738,2022-11-08 16:46:13.020,257,550,293,0,0,0,2,0,0
292497,2022-11-08 16:45:23.027,17,550,533,0,0,0,2,0,0
292459,2022-11-08 16:45:15.253,257,550,293,0,0,0,2,0,0
290986,2022-11-08 16:40:03.523,257,550,293,0,0,0,2,0,0
290839,2022-11-08 16:39:33.523,257,550,293,0,0,0,2,0,0
290721,2022-11-08 16:39:09.480,257,550,293,0,0,0,2,0,0
290395,2022-11-08 16:38:02.180,0,550,550,0,0,0,2,0,0
290394,2022-11-08 16:38:01.923,0,550,550,0,0,0,2,0,0
290393,2022-11-08 16:38:01.743,0,550,550,0,0,0,2,0,0
290387,2022-11-08 16:38:00.520,257,550,293,0,0,0,2,0,0
290367,2022-11-08 16:37:56.487,10,550,540,0,0,0,2,0,0
290363,2022-11-08 16:37:55.660,304,550,246,0,0,0,2,0,0
290362,2022-11-08 16:37:55.463,304,550,246,0,0,0,2,0,0
290361,2022-11-08 16:37:55.270,304,550,246,0,0,0,2,0,0
290360,2022-11-08 16:37:55.060,304,550,246,0,0,0,2,0,0
290359,2022-11-08 16:37:54.857,304,550,246,0,0,0,2,0,0
290358,2022-11-08 16:37:54.620,304,550,246,0,0,0,2,0,0
290357,2022-11-08 16:37:54.433,304,550,246,0,0,0,2,0,0
290356,2022-11-08 16:37:54.180,304,550,246,0,0,0,2,0,0
290355,2022-11-08 16:37:53.987,304,550,246,0,0,0,2,0,0
