ID,logTime,lidarDistance,irSensor,upMotor,throttleMotor,yawMotor,servoDoor,p_up,isMicroPython,i_up,d_up,p_throttle,i_throttle,d_throttle,p_yaw,i_yaw,d_yaw,scalar_up,scalar_yaw,scalar_throttle,error_rounding_up,error_scaling_up,pid_min_up,controlAuthority,loopTime,currentManeuver,state_description,state_target,state_action,ballIsFound,yellowGoalIsFound,orangeGoalIsFound,imu_yaw,imu_yaw_rate,imu_yaw_limited,imu_yaw_rate_limited
354881,2022-11-09 14:35:00.307,1509,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.476563,Do nothing.,rcRemote,none,none,0,1,0,-1.1369E-13,7.56428E-29,-1.1369E-13,7.56428E-29
354883,2022-11-09 14:35:00.503,1500,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,-1.1369E-13,7.56428E-29,-1.1369E-13,7.56428E-29
354885,2022-11-09 14:35:00.707,1495,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199218,Do nothing.,rcRemote,none,none,0,1,0,-5.90311E+20,-4.61656E-33,-3.14159,-4.61656E-33
354887,2022-11-09 14:35:00.937,1492,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.195313,Do nothing.,rcRemote,none,none,0,0,0,-4.13601E-25,3.48808E-10,-4.13601E-25,3.48808E-10
354889,2022-11-09 14:35:01.110,1490,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.207031,Do nothing.,rcRemote,none,none,0,1,0,-0.118909,0.00355671,-0.118909,0.00355671
354891,2022-11-09 14:35:01.310,1483,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,1,0,-1.79543E+15,-1.56331E-21,-3.14159,-1.56331E-21
354893,2022-11-09 14:35:01.523,1481,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,-1.79543E+15,-1.56331E-21,-3.14159,-1.56331E-21
354895,2022-11-09 14:35:01.733,1477,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,-140741000000000,7.56309E-29,-3.14159,7.56309E-29
354897,2022-11-09 14:35:01.933,1475,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,1.034E-25,7.2439E+24,0,7.56309E-29
354899,2022-11-09 14:35:02.130,1475,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199218,Do nothing.,rcRemote,none,none,0,0,0,0.00781271,-25132400,0.00781271,0
354900,2022-11-09 14:35:02.323,1475,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,7.62959E-06,2.95432E-31,7.62959E-06,2.95432E-31
354902,2022-11-09 14:35:02.557,1474,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,7.62959E-06,2.95432E-31,7.62959E-06,2.95432E-31
354904,2022-11-09 14:35:02.757,1475,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.195312,Do nothing.,rcRemote,none,none,0,0,0,-2.3059E+18,1.80321E-35,-3.14159,1.80321E-35
354906,2022-11-09 14:35:02.950,1477,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199218,Do nothing.,rcRemote,none,none,0,0,0,-8388830,-7.96503E+36,-3.14159,0
354908,2022-11-09 14:35:03.150,1475,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,131075,-1.23917E-24,3.14159,-1.23917E-24
354910,2022-11-09 14:35:03.343,1479,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,2.35099E-38,4.37088E-19,2.35099E-38,4.37088E-19
354912,2022-11-09 14:35:03.547,1479,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,-1.512,0.0326521,-1.512,0.0326521
354914,2022-11-09 14:35:03.767,1482,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.195312,Do nothing.,rcRemote,none,none,0,0,0,144941000000000,-1.66453E-16,3.14159,-1.66453E-16
354915,2022-11-09 14:35:03.943,1487,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.195313,Do nothing.,rcRemote,none,none,0,0,0,2.38235E-38,828387000000,0,-1.66453E-16
354916,2022-11-09 14:35:04.147,1490,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,2.34227E+35,5.60519E-45,3.14159,5.60519E-45
354917,2022-11-09 14:35:04.367,1490,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,-1.59413,-0.0431437,-1.59413,-0.0431437
354918,2022-11-09 14:35:04.587,1490,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199218,Do nothing.,rcRemote,none,none,0,0,0,-1.59413,-0.0431437,-1.59413,-0.0431437
354921,2022-11-09 14:35:04.983,1504,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,4.15395E+34,-1.85546E+27,3.14159,0
354923,2022-11-09 14:35:05.193,1505,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,2.36125E+21,0.000365962,3.14159,0.000365962
354925,2022-11-09 14:35:05.367,1511,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199218,Do nothing.,rcRemote,none,none,0,1,0,32.7671,0,3.14159,0
354927,2022-11-09 14:35:05.657,1511,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,1,0,32.7671,0,3.14159,0
354929,2022-11-09 14:35:05.843,1515,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.246094,Do nothing.,rcRemote,none,none,0,0,0,7.62961E-06,4.75153E+29,0,0
354931,2022-11-09 14:35:06.050,1518,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,1,0,7.62961E-06,4.75153E+29,0,0
354933,2022-11-09 14:35:06.240,1519,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199218,Do nothing.,rcRemote,none,none,0,1,0,-3.76169E-37,1.89278E-29,-3.76169E-37,1.89278E-29
354935,2022-11-09 14:35:06.520,1523,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,1,0,-140741000000000,-144955000000000,-3.14159,0
354936,2022-11-09 14:35:06.707,1523,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.246094,Do nothing.,rcRemote,none,none,0,1,0,-1.95846,-0.0930658,-1.95846,-0.0930658
354938,2022-11-09 14:35:06.930,1525,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,1,0,-8192.23,422190000000000,0,-0.0930658
354940,2022-11-09 14:35:07.103,1528,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.203125,Do nothing.,rcRemote,none,none,0,1,0,-33555400,-95.9986,-3.14159,0
354942,2022-11-09 14:35:07.317,1527,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199218,Do nothing.,rcRemote,none,none,0,1,0,-7.10563E-15,24576.3,0,0
354944,2022-11-09 14:35:07.520,1529,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,1,0,-7.10563E-15,24576.3,0,0
354946,2022-11-09 14:35:07.737,1529,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,1,0,-4.5476E-13,-2.95838E-31,-4.5476E-13,-2.95838E-31
354948,2022-11-09 14:35:07.927,1529,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,1,0,-2.40748E-35,-7.57364E-29,-2.40748E-35,-7.57364E-29
354950,2022-11-09 14:35:08.127,1529,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199218,Do nothing.,rcRemote,none,none,0,1,0,-1.54079E-33,-1.3324E-15,-1.54079E-33,-1.3324E-15
354952,2022-11-09 14:35:08.337,1531,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,1,0,6.16316E-33,1.85712E+27,0,-1.3324E-15
354954,2022-11-09 14:35:08.560,1530,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.195313,Do nothing.,rcRemote,none,none,0,1,0,6.16316E-33,1.85712E+27,0,-1.3324E-15
354955,2022-11-09 14:35:08.747,1529,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.207031,Do nothing.,rcRemote,none,none,0,1,0,6.04481E+23,-4.98529E+35,3.14159,0
354957,2022-11-09 14:35:08.947,1530,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,1,0,0.00781273,4.9638E-24,0.00781273,4.9638E-24
354959,2022-11-09 14:35:09.163,1529,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,1,0,1.00977E-28,6292390,0,4.9638E-24
354961,2022-11-09 14:35:09.380,1529,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199218,Do nothing.,rcRemote,none,none,0,1,0,2.35099E-38,4.37091E-19,2.35099E-38,4.37091E-19
