ID,logTime,lidarDistance,irSensor,upMotor,throttleMotor,yawMotor,servoDoor,p_up,isMicroPython,i_up,d_up,p_throttle,i_throttle,d_throttle,p_yaw,i_yaw,d_yaw,scalar_up,scalar_yaw,scalar_throttle,error_rounding_up,error_scaling_up,pid_min_up,controlAuthority,loopTime,currentManeuver,state_description,state_target,state_action,ballIsFound,yellowGoalIsFound,orangeGoalIsFound,imu_yaw,imu_yaw_rate,imu_yaw_limited,imu_yaw_rate_limited
355827,2022-11-09 14:53:30.160,1517,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,0,-7.59174E+26,0,0
355828,2022-11-09 14:53:30.407,1517,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,-1.71151,0.00328127,-1.71151,0.00328127
355829,2022-11-09 14:53:30.607,1517,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,-1.71151,0.00328127,-1.71151,0.00328127
355830,2022-11-09 14:53:30.813,1519,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,0,-3.24652E-23,0,-3.24652E-23
355831,2022-11-09 14:53:30.980,1519,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,0,-3.24652E-23,0,-3.24652E-23
355832,2022-11-09 14:53:31.217,1518,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199218,Do nothing.,rcRemote,none,none,0,0,0,-8.52304E-06,-2.52877E+27,-8.52304E-06,0
355833,2022-11-09 14:53:31.450,1518,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.203125,Do nothing.,rcRemote,none,none,0,0,0,-1.71104,-0.00702913,-1.71104,-0.00702913
355834,2022-11-09 14:53:31.650,257,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.21875,Do nothing.,rcRemote,none,none,0,0,0,-1.71104,-0.00702913,-1.71104,-0.00702913
355835,2022-11-09 14:53:31.827,1517,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.203125,Do nothing.,rcRemote,none,none,0,0,0,-7.16136E-15,0,-7.16136E-15,0
355836,2022-11-09 14:53:32.047,1517,0,0,0,0,0,0.3,1,0,0.2,3,4,5,0.5,0,0,1,1,1,1,100,-0.25,manual,0.199219,Do nothing.,rcRemote,none,none,0,0,0,2.36987E-38,-3.10314E-30,2.36987E-38,-3.10314E-30
